Da Ya Think I'm Sexy?,Rod Stewart,Rock,8,1978
Hold the Line,Toto,Rock,51,1978
Video Killed the Radio Star,The Buggles,Rock,3,1979
Good Times,Chic,R&B/Soul,29,1979
After the Love Has Gone,"Earth, Wind & Fire",R&B/Soul,25,1979
Boogie Wonderland,"Earth, Wind & Fire, The Emotions",R&B/Soul,21,1979
Fool In the Rain (Remastered),Led Zeppelin,Rock,17,1979
Funkytown,"Lipps, Inc.",Disco,44,1979
Ain't No Stoppin' Us Now,McFadden & Whitehead,R&B/Soul,5,1979
Mayonaka no Door / Stay with Me,Miki Matsubara,J-Pop,17,1979
Cruel to Be Kind,Nick Lowe,Rock,36,1979
Heartbreaker,Pat Benatar,Rock,37,1979
Crazy Little Thing Called Love,Queen,Rock,2,1979
Funkin' for Jamaica,Tom Browne,Jazz,5,1979
Stomp! (Single Version),The Brothers Johnson,R&B/Soul,2,1980
Hungry Heart,Bruce Springsteen,Rock,4,1980
Heaven,Bryan Adams,Rock,27,1980
(I Just) Died in Your Arms Tonight,Cutting Crew,Rock,37,1980
Whip It,Devo,New Wave,2,1980
I'm Coming Out,Diana Ross,R&B/Soul,22,1980
Upside Down,Diana Ross,R&B/Soul,40,1980
Give Me the Night,George Benson,Jazz,3,1980
Fame,Irene Cara,Soundtrack,35,1980
Bad Reputation,Joan Jett,Rock,25,1980
Hit Me With Your Best Shot,Pat Benatar,Rock,4,1980
Another One Bites the Dust,Queen,Rock,6,1980
I Need Your Lovin',Teena Marie,R&B/Soul,35,1980
Chains,Teena Marie,R&B/Soul,23,1980
You Make Love Like Springtime,Teena Marie,R&B/Soul,24,1980
Lay All Your Love On Me,ABBA,Pop,9,1981
Private Eyes,Daryl Hall & John Oates,Pop,3,1981
Private Eyes,Daryl Hall & John Oates,Rock,46,1981
I Can't Go for That (No Can Do),Daryl Hall & John Oates,Rock,25,1981
Let's Groove,"Earth, Wind & Fire",R&B/Soul,132,1981
Let's Groove,"Earth, Wind & Fire",R&B/Soul,29,1981
I'm In Love,"Evelyn ""Champagne"" King",Pop,33,1981
Kids In America,Kim Wilde,Pop,2,1981
Get Down On It,Kool & The Gang,R&B/Soul,20,1981
Never Too Much,Luther Vandross,R&B/Soul,4,1981
Physical,Olivia Newton-John,Soundtrack,13,1981
